"source.ip: Descending","dest.ip: Descending","dest.port: Descending",Count
"172.30.20.40","192.168.93.105",55114,19
"172.30.20.40","192.168.93.105",55115,11
"172.30.20.40","192.168.93.105",55121,11
"172.30.20.40","192.168.93.105",55123,6
"172.30.20.40","192.168.93.105",55128,10
"172.30.20.40","192.168.93.105",55131,5
"172.30.20.40","192.168.93.105",55133,9
"172.30.20.40","192.168.93.105",55135,11
"172.30.20.40","192.168.93.105",55138,11
"172.30.20.40","192.168.93.105",55140,10
"172.30.20.40","192.168.93.105",55146,11
"172.30.20.40","192.168.93.105",55150,11
"172.30.20.40","192.168.93.105",55152,10
"172.30.20.40","192.168.93.105",55162,5
"172.30.20.40","192.168.93.105",55168,14
"172.30.20.40","192.168.93.105",55170,9
"172.30.20.40","192.168.93.105",55173,6
"172.30.20.40","192.168.93.105",55179,11
"172.30.20.40","192.168.93.105",55181,5
"172.30.20.40","192.168.93.105",55183,10
"172.30.20.40","192.168.93.105",55188,11
"172.30.20.40","192.168.93.105",55191,10
"172.30.20.40","192.168.93.105",55193,11
"172.30.20.40","192.168.93.105",55195,6
"172.30.20.40","192.168.93.105",55197,11
"172.30.20.40","192.168.93.105",55202,10
"172.30.20.40","192.168.93.105",55206,6
"172.30.20.40","192.168.93.105",55209,10
"172.30.20.40","192.168.93.105",55215,6
"172.30.20.40","192.168.93.105",55217,5
"172.30.20.40","192.168.93.105",55222,4
"172.30.20.40","192.168.93.105",55224,8
"172.30.20.40","192.168.93.105",55226,6
"172.30.20.40","192.168.93.105",55233,11
"172.30.20.40","192.168.93.105",55235,8
"172.30.20.40","192.168.93.105",55239,5
"172.30.20.40","192.168.93.105",55245,11
"172.30.20.40","192.168.93.105",55247,5
"172.30.20.40","192.168.93.105",55252,10
"172.30.20.40","192.168.93.105",55254,6
"172.30.20.40","192.168.93.105",55258,11
"172.30.20.40","192.168.93.105",55261,6
"172.30.20.40","192.168.93.105",55263,10
"172.30.20.40","192.168.93.105",55265,10
"172.30.20.40","192.168.93.105",55270,6
"172.30.20.40","192.168.93.105",55274,10
"172.30.20.40","192.168.93.105",55279,4
"172.30.20.40","192.168.93.105",55283,17
"172.30.20.40","192.168.93.105",55286,10
"172.30.20.40","192.168.93.105",55288,6
"172.30.20.40","192.168.93.105",55294,5
"172.30.20.40","192.168.93.105",55296,8
"172.30.20.40","192.168.93.105",55306,5
"172.30.20.40","192.168.93.105",55308,12
"172.30.20.40","192.168.93.105",55311,6
"172.30.20.40","192.168.93.105",55313,6
"172.30.20.40","192.168.93.105",55321,15
"172.30.20.40","192.168.93.105",55323,5
"172.30.20.40","192.168.93.105",55326,9
"172.30.20.40","192.168.93.105",55330,10
"172.30.20.40","192.168.93.105",55335,10
"172.30.20.40","192.168.93.105",55341,12
"172.30.20.40","192.168.93.105",55344,6
"172.30.20.40","192.168.93.105",55348,5
"172.30.20.40","192.168.93.105",55352,5
"172.30.20.40","192.168.93.105",55354,15
"172.30.20.40","192.168.93.105",55358,10
"172.30.20.40","192.168.93.105",55360,10
"172.30.20.40","192.168.93.105",55364,10
"172.30.20.40","192.168.93.105",55367,5
"172.30.20.40","192.168.93.105",55369,9
"172.30.20.40","192.168.93.105",55371,6
"172.30.20.40","192.168.93.105",55373,10
"172.30.20.40","192.168.93.105",55375,6
"172.30.20.40","192.168.93.105",55378,16
"172.30.20.40","192.168.93.105",55380,10
"172.30.20.40","192.168.93.105",55384,10
"172.30.20.40","192.168.93.105",55389,6
"172.30.20.40","192.168.93.105",55391,6
"172.30.20.40","192.168.93.105",55397,10
"172.30.20.40","192.168.93.105",55401,5
"172.30.20.40","192.168.93.105",55404,15
"172.30.20.40","192.168.93.105",55406,10
"172.30.20.40","192.168.93.105",55410,10
"172.30.20.40","192.168.93.105",55416,11
"172.30.20.40","192.168.93.105",55419,5
"172.30.20.40","192.168.93.105",55425,10
"172.30.20.40","192.168.93.105",55430,10
"172.30.20.40","192.168.93.105",55432,6
"172.30.20.40","192.168.93.105",55434,5
"172.30.20.40","192.168.93.105",55437,6
"172.30.20.40","192.168.93.105",55443,10
"172.30.20.40","192.168.93.105",55445,9
"172.30.20.40","192.168.93.105",55448,11
"172.30.20.40","192.168.93.105",55450,6
"172.30.20.40","192.168.93.105",55455,9
"172.30.20.40","192.168.93.105",55457,10
"172.30.20.40","192.168.93.105",55459,6
"172.30.20.40","192.168.93.105",55465,11
"172.30.20.40","192.168.93.105",55467,11
"172.30.20.40","192.168.93.105",55469,15
"172.30.20.40","192.168.93.105",55471,10
"172.30.20.40","192.168.93.105",55477,5
"172.30.20.40","192.168.93.105",55479,9
"172.30.20.40","192.168.93.105",55482,16
"172.30.20.40","192.168.93.105",55484,6
"172.30.20.40","192.168.93.105",55487,10
"172.30.20.40","192.168.93.105",55489,9
"172.30.20.40","192.168.93.105",55491,10
"172.30.20.40","192.168.93.105",55494,6
"172.30.20.40","192.168.93.105",55498,6
"172.30.20.40","192.168.93.105",55500,12
"172.30.20.40","192.168.93.105",55502,10
"172.30.20.40","192.168.93.105",55511,6
"172.30.20.40","192.168.93.105",55513,15
"172.30.20.40","192.168.93.105",55517,5
"172.30.20.40","192.168.93.105",55521,6
"172.30.20.40","192.168.93.105",55526,9
"172.30.20.40","192.168.93.105",55528,10
"172.30.20.40","192.168.93.105",55531,5
"172.30.20.40","192.168.93.105",55536,9
"172.30.20.40","192.168.93.105",55538,10
"172.30.20.40","192.168.93.105",55540,10
"172.30.20.40","192.168.93.105",55544,15
"172.30.20.40","192.168.93.105",55546,6
"172.30.20.40","192.168.93.105",55551,6
